time,temperature_2m_max,temperature_2m_min,precipitation_sum
2025-06-25,32.2,25.1,0.2
2025-06-26,30.7,25.7,1.1
2025-06-27,31.2,26.4,0.4
2025-06-28,31.5,24.2,9.1
2025-06-29,29.9,24.8,0.1
2025-06-30,29.8,24.6,0.3
2025-07-01,30.8,26.4,0.0
2025-07-02,31.9,25.1,0.4
2025-07-03,31.6,24.4,1.5
2025-07-04,32.6,24.5,0.1
2025-07-05,30.5,25.0,0.1
2025-07-06,29.5,24.8,2.3
2025-07-07,30.3,23.8,1.7
2025-07-08,30.1,24.2,0.0
2025-07-09,31.7,22.9,0.0
2025-07-10,30.7,22.1,0.0
2025-07-11,29.9,22.7,0.0
2025-07-12,29.7,23.8,0.8
2025-07-13,30.7,27.4,0.2
2025-07-14,31.8,24.3,0.0
2025-07-15,31.0,23.5,0.9
2025-07-16,31.7,25.1,0.0
2025-07-17,31.4,24.0,0.0
2025-07-18,31.0,23.4,0.0
2025-07-19,30.3,22.8,0.0
2025-07-20,30.2,23.4,0.0
2025-07-21,30.5,22.6,0.0
2025-07-22,30.6,22.4,0.0
2025-07-23,30.8,24.1,0.3
2025-07-24,,,
2025-07-25,,,
